Zone,Site,Lab Number,Phase,Context,Material,Age BP,Error,Source,Calib_1sigma_from,Calib_1sigma_to,Calib_2sigma_from,Calib_2sigma_to,Calib_mean,Calib_sd,Modeled_1sigma_from,Modeled_1sigma_to,Modeled_2sigma_from,Modeled_2sigma_to,Modeled_mean,Modeled_sd,Acomb,A,L,P,C,Region,Comments
Tilaran-Arenal,Quebrada Guillermina,BORGIA-4,AT-9 Eruption,Paleosol immediately below AT-9,Paleosol,2895,145,Borgia et al. 1988,-1267,-908,-1427,-806,-1110,173,-1411,-1111,-1505,-941,-1236,142,,90.7,,,99.9,Lower Central America,""
Tilaran-Arenal,Quebrada La Palma,BORGIA-5,AT-9 Eruption,Paleosol immediately below AT-9,Paleosol,2650,115,Borgia et al. 1988,-978,-569,-1104,-416,-792,162,-1411,-1111,-1505,-941,-1236,142,,,10.1,,99.9,Lower Central America,""
Tilaran-Arenal,Sangregado Dam,ICE-1,AT-9 Eruption,From paleosol beneath AT-9 Tephra,?,4030,150,ICE 1977 in Egan 2019,-2866,-2350,-2922,-2136,-2568,213,-2865,-2350,-2922,-2136,-2567,213,,,,,99.7,Lower Central America,""
Tilaran-Arenal,Sangregado Dam,BORGIA-6,AT-9 Eruption,Paleosol immediately below AT-9,Paleosol,3025,150,Borgia et al. 1988,-1427,-1055,-1612,-851,-1245,182,-1430,-1087,-1534,-939,-1250,155,,106.2,,,99.9,Lower Central America,""
Tilaran-Arenal,Tronadora Vieja,TX-5278,Early Tronadora,"Uppermost 10 cm of Aguacate associated with two small undecorated body sherds, but tentatively assigned to Fortuna",Wood Charcoal,4580,80,"Hoopes 1987, Sheets 1994 (Sheets, McKee eds)",-3500,-3104,-3601,-3025,-3296,144,-3375,-3033,-3510,-2935,-3218,134,,94.9,,,99.9,Lower Central America,""
Tilaran-Arenal,Tronadora Vieja,TX-5276,Early Tronadora,"Hearth, strong association to Tronadora but assigned to Archaic tentatively",Carbonized maize,4450,70,"Hoopes 1987, Sheets 1994 (Sheets, McKee eds)",-3331,-3017,-3345,-2925,-3145,125,-3184,-2922,-3326,-2915,-3102,120,,97.9,,,99.9,Lower Central America,""
Tilaran-Arenal,Tronadora Vieja,SI-?,Early Tronadora,Hearth 5-10 cm below Aguacate associated with lithic debitage; Same feature as TX-5275 and SI-?,Wood Charcoal,3675,100,"Hoopes 1987, Sheets 1994 (Sheets, McKee eds)",-2201,-1925,-2403,-1767,-2071,146,-2336,-2071,-2459,-2007,-2208,118,,83.1,,,99.9,Lower Central America,""
Tilaran-Arenal,Tronadora Vieja,TX-5277,Early Tronadora,Above Aguacate,Carbonized plant material,3730,100,"Hoopes 1987, Sheets 1994 (Sheets, McKee eds)",-2289,-1978,-2456,-1895,-2148,147,-2170,-1957,-2297,-1879,-2074,107,,107.6,,,99.9,Lower Central America,""
Tilaran-Arenal,Tronadora Vieja,TX-5279,Early Tronadora,Above Aguacate,Carbonized plant material,3480,320,"Hoopes 1987, Sheets 1994 (Sheets, McKee eds)",-2282,-1427,-2847,-1018,-1872,422,-1981,-1619,-2187,-1566,-1860,174,,130.6,,,100,Lower Central America,""
Tilaran-Arenal,Tronadora Vieja,TX-5280,Arenal,Post U55 Pre U41 From tomb,Charcoal,2470,560,Sheets 1994 (Sheets and McKee eds),-1273,109,-2113,644,-676,687,-292,51,-321,534,-25,234,,100.4,,,99.1,Lower Central America,""
Tilaran-Arenal,Tronadora Vieja,TX-5081,Arenal,Post U-55 Pre U-41,Charcoal,2030,300,Sheets 1994 (Sheets and McKee eds),-398,336,-790,570,-85,357,-283,88,-319,428,-13,213,,119.1,,,99.3,Lower Central America,""
